"","p301d_","p303_","p305_","p306_","p307_","p308d_","p310_","p310b1_","p311_1_","p311_2_","p311_3_","p311_4_","p311_5_","p311_6_","p311_7_","p311_8_","p311a1_4_","p311a1_7_","p311a2_4_","p311a2_7_","p311a3_4_","p311a3_7_","p311a4_4_","p311a4_7_","p311a5_4_","p311a5_7_","p311a6_4_","p311a6_7_","p311a7_4_","p311a7_7_","p311b_4_","p311b_7_","p311e_4_","p311e_7_","p311t1_","p3121_","p3122_","p314a_","educacion_sup","p207_","p208a_","p208a2_","p501_","p5561a_","p5562a_","p5563a_","p5564a_","p5565a_","p5566a_","p5567a_","p5568a_","p5569a_","p558d_","p401h1_","p401h2_","p401h3_","p401h4_","p401h5_","p401h6_","p401_","p4021_","p4022_","p4023_","p4024_","p4025_","p414_06_","p414_07_","p414_08_","p414_09_","p414_10_","p414_11_","p414_12_","p414_13_","p414_14_","p414_15_","p414_16_","p4191_","p4192_","p4193_","p4194_","p4195_","p4196_","p4197_","p4198_","p209__2","p209__5","p209__6","p401f__2","p558c__2","p558c__3","p558c__4","p558c__5","p558c__6","p558c__7","p558c__8","p311c_4__2","p311c_4__3","p311c_4__4","p311c_4__5","p311c_4__6","p311c_4__7","p311c_4__8","p311c_4__9","p311c_7__2","p311c_7__3","p311c_7__4","p311c_7__5","p311c_7__6","p311c_7__7","p311c_7__8","p311c_7__9","p311c_7__10"
"1",1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,55,30,3,10,135,2,2,1,0,1,15,"010201",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"2",1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,50,90,2,7,225,2,2,1,1,1,16,"010312",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"3",1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,97,104,4,31,386,2,2,2,0,1,17,"010312",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,1,0,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"4",1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,40,100,3,11,255,2,2,1,0,1,16,"060307",1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,1,0,0,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"5",1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,70,575,4,18,815,2,2,1,0,1,20,"010609",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"6",1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,190,94,4,1,489,2,2,1,0,2,16,"021801",2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,0,1,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"7",1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,150,133,2,8,301,2,2,1,0,2,17,"021801",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"8",1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,100,303,4,27,603,2,2,1,0,2,15,"021301",2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"9",1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,45,36,3,14,292,2,2,1,0,1,17,"020401",1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,0,1,0,0,0,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"10",1,1,1,1,1,1,2,2,1,1,2,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,210,115,3,9,752,2,2,2,0,1,19,"020204",2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
